| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
| STT_GR_0022_0328_2132252_to_2134652 | 55 | 2.40 | 0.132 | 0.038 | 0.226 | 0.283 |
| STT_GR_0022_0192_1514900_to_1519800 | 57 | 4.90 | 0.036 | 0.091 | 0.036 | 0.036 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0155_1245500_to_1249000 | 68 | 3.50 | 0.212 | 0.212 | 0.121 | 0.121 |
| STT_GR_0022_0027_218700_to_223000 | 70 | 4.30 | 0.162 | 0.059 | 0.074 | 0.074 |
| STT_GR_0022_0098_874300_to_878600 | 70 | 4.30 | 0.103 | 0.147 | 0.103 | 0.147 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0190_1504900_to_1509500 | 74 | 4.60 | 0.446 | 0.162 | 0.230 | 0.243 |
| STT_GR_0022_0024_195500_to_200600 | 74 | 5.10 | 0.466 | 0.493 | 0.288 | 0.260 |
| STT_GR_0022_0004_34700_to_38500 | 74 | 3.80 | 0.216 | 0.108 | 0.068 | 0.068 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0074_637800_to_642400 | 71 | 4.60 | 0.188 | 0.174 | 0.072 | 0.072 |
| STT_GR_0022_0089_778400_to_783700 | 73 | 5.30 | 0.239 | 0.169 | 0.085 | 0.141 |
| STT_GR_0022_0287_1948800_to_1956500 | 72 | 7.70 | 0.357 | 0.529 | 0.386 | 0.386 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0022_0034_293600_to_300100 | 78 | 6.50 | 0.118 | 0.105 | 0.053 | 0.053 |
| STT_GR_0022_0119_1138204_to_1141468 | 77 | 3.26 | 0.253 | 0.027 | 0.000 | 0.027 |
| STT_GR_0022_0148_1202100_to_1205812 | 78 | 3.71 | 0.346 | 0.269 | 0.077 | 0.077 |
